h3_index;weekly_popularity
8835a93231fffff;2891
8835a93281fffff;3360
8835a93601fffff;2175
8835a9360bfffff;9109
8835a9360dfffff;1126
8835a93641fffff;2221
8835a93655fffff;30960
8835a93657fffff;4217
8835a9365dfffff;5868
8835a93665fffff;11527
8835a93769fffff;4831
8835a9ac3dfffff;1967
8835a9ac87fffff;7970
8835a9acb1fffff;1158
8835a9ad23fffff;1014
8835a9ade3fffff;3923
8839008011fffff;2607
883900801bfffff;2588
883902414bfffff;19986
8839024445fffff;1988
883902484dfffff;5900
88390249b5fffff;10539
8839028505fffff;5599
8839028507fffff;4397
883902850dfffff;2167
8839028529fffff;1944
883902852bfffff;4801
883902852dfffff;2174
8839028565fffff;4184
88390286d9fffff;3510
88390286dbfffff;1813
88390286ddfffff;2439
883902890bfffff;3725
8839028b53fffff;5737
8839028b5bfffff;4567
8839028e5bfffff;4793
8839029609fffff;3349
8839029983fffff;2104
8839029995fffff;5338
88390299b9fffff;2298
8839029a25fffff;2359
8839029b27fffff;9473
883902cc09fffff;16712
883902cc99fffff;1851
883902cf31fffff;8936
883902cf35fffff;2739
883902cf3dfffff;12516
883902d1cbfffff;2736
883902d40dfffff;2060
883902db49fffff;7239
883902db4bfffff;13599
8839040067fffff;5024
883904006dfffff;4773
883904021bfffff;2345
8839040529fffff;8510
8839040605fffff;1950
8839040a81fffff;8139
8839040a89fffff;1471
8839040c37fffff;4909
8839040ce9fffff;4105
8839040dd5fffff;12990
8839040dddfffff;21410
8839041259fffff;2363
883904129dfffff;2665
88390412d7fffff;12919
8839041831fffff;4347
8839041937fffff;2190
883904198dfffff;2361
88390419cbfffff;1279
88390420adfffff;4433
8839042169fffff;1290
88390421e1fffff;2231
8839042507fffff;2197
8839042539fffff;11306
88390429e3fffff;7669
8839043233fffff;3177
88390432c7fffff;2756
88390432e1fffff;5235
88390432e5fffff;7008
88390432ebfffff;5049
8839043843fffff;4715
8839043847fffff;7135
8839043903fffff;15197
883904390bfffff;2024
8839043a69fffff;1402
88390441d5fffff;3001
8839044299fffff;1553
88390451c3fffff;4744
88390456ddfffff;6173
8839045753fffff;2837
8839045919fffff;6792
883904591dfffff;11799
8839045a45fffff;18897
8839045a47fffff;2600
8839045a49fffff;4224
8839046203fffff;2462
883904693bfffff;3211
883904698dfffff;2373
88390469cdfffff;3593
88390469e1fffff;6510
88390469e3fffff;12888
88390469ebfffff;7691
8839046cc7fffff;2067
8839047087fffff;2874
88390470bdfffff;3145
8839047285fffff;2095
8839048223fffff;3700
8839048461fffff;9463
8839048463fffff;5073
8839048813fffff;10215
8839048817fffff;2477
883904881bfffff;5270
883904888dfffff;5033
88390488c7fffff;5187
88390488cdfffff;3819
88390488e1fffff;19657
88390488e5fffff;2328
88390488e7fffff;7049
88390488e9fffff;8496
88390488edfffff;4381
8839048905fffff;2487
8839048965fffff;3428
8839048981fffff;6054
88390489d3fffff;4348
88390489dbfffff;12807
88390489ddfffff;2827
8839048a81fffff;2980
8839048aa7fffff;3181
8839048cadfffff;2649
8839048d27fffff;6878
8839049165fffff;1469
88390495e7fffff;10829
883904991bfffff;3865
8839049985fffff;2162
88390499dbfffff;7138
88390499edfffff;12377
883904a003fffff;11556
883904a007fffff;3841
883904ab67fffff;3996
883904b135fffff;4695
883904bacdfffff;4120
883904c4cdfffff;2358
883904c5adfffff;1855
883904c703fffff;68735
883904c70bfffff;15935
883904c711fffff;2554
883904c715fffff;24173
883904c71dfffff;7104
883904c731fffff;4512
883904c739fffff;19347
883904c757fffff;7029
883904c917fffff;2227
883904cad9fffff;14221
883904cc13fffff;2451
883904ccc5fffff;2721
883904ce59fffff;2101
883904ce61fffff;7135
883904ce67fffff;1877
883904d0dbfffff;1429
883904d125fffff;2650
883904d145fffff;3418
883904d14dfffff;6723
883904d16dfffff;6560
883904d269fffff;5760
883904d321fffff;24321
883904d323fffff;21301
883904d327fffff;63873
883904d32bfffff;3309
883904d345fffff;6456
